,win_rate,standard_error,n_wins,n_wins_base,n_draws,n_total,discrete_win_rate,mode,avg_length,length_controlled_winrate
LLaMA3-iterative-DPO-final-ExPO,32.74046453362147,1.4050384346961022,251,552,2,805,31.30434782608696,community,1692,37.7936173602454
LLaMA3-iterative-DPO-final,29.17449282962109,1.3564576693493684,227,575,3,805,28.385093167701864,community,1628,36.008874894008756
Starling-LM-7B-beta-ExPO,29.600851847906423,1.3252049542916096,225,580,0,805,27.95031055900621,community,2215,26.411156713811028
Starling-LM-7B-beta,26.579320963545968,1.303766450874564,200,605,0,805,24.84472049689441,community,2015,25.759009217028712
Starling-LM-7B-alpha-ExPO,18.179755920362158,1.2498324795896385,148,657,0,805,18.385093167701864,community,1821,19.4741654606294
Starling-LM-7B-alpha,14.955555316751871,1.074366577772962,110,695,0,805,13.664596273291924,community,1618,18.304657197452308
tulu-2-dpo-13b-ExPO,15.551405429399557,1.171485338425437,121,679,5,805,15.341614906832298,community,1649,17.591404469940848
tulu-2-dpo-13b,11.201461887382512,0.976918350177254,83,719,3,805,10.49689440993789,community,1361,15.473043700448926
zephyr-7b-alpha-ExPO,10.55935434569986,0.977463444873356,79,725,1,805,9.875776397515528,community,1248,13.573089356781388
zephyr-7b-alpha,6.733561194307979,0.8228919618329134,53,751,1,805,6.645962732919254,community,1160,9.965565362657289
tulu-2-dpo-7b-ExPO,11.529221038762385,1.049781489308991,91,714,0,805,11.304347826086957,community,1742,11.675059099417426
tulu-2-dpo-7b,8.498888617172264,0.8667133091980093,62,743,0,805,7.701863354037266,community,1489,10.205558157846802
zephyr-7b-beta-ExPO,11.06111683239833,1.0204784889272769,89,716,0,805,11.055900621118013,community,1405,14.001211980232686
zephyr-7b-beta,10.17499403383305,0.988682290078032,79,726,0,805,9.813664596273291,community,1355,13.20351842986085
tulu-2-dpo-70b-ExPO,22.980619706104978,1.3591734082562228,184,620,1,805,22.919254658385093,community,1738,25.72330817134933
tulu-2-dpo-70b,15.356123470173523,1.171675171565679,117,686,2,805,14.658385093167702,community,1463,21.19855125263524
internlm2-chat-20b-ExPO,46.185367468861,1.4638315245977938,375,430,0,805,46.58385093167702,community,3335,27.225759480731792
internlm2-chat-20b,36.08058164643853,1.417802153421741,277,525,3,805,34.59627329192546,community,2591,24.85328057096761
internlm2-chat-7b-ExPO,28.067817437082898,1.3159792318125112,209,595,1,805,26.02484472049689,community,2390,22.66748024879648
internlm2-chat-7b,20.480130015343665,1.1968253115827423,156,647,2,805,19.50310559006212,community,2069,18.26882704225972
internlm2-chat-1_8b-ExPO,5.231790007005773,0.6618629174642703,36,766,3,805,4.658385093167702,community,2126,4.271007274607159
internlm2-chat-1_8b,3.762653571087174,0.5474960667571366,25,776,4,805,3.354037267080745,community,1634,3.997338528660107
Snorkel-Mistral-PairRM-DPO-ExPO,28.84530488962087,1.3393865692585387,220,585,0,805,27.32919254658385,community,2262,26.38786340677553
Snorkel-Mistral-PairRM-DPO,24.695370716710045,1.2590816471909414,180,625,0,805,22.36024844720497,community,2040,23.993860351067564
zephyr_0.05_a25.0,11.507567261076753,0.9509470006430235,81,724,0,805,10.062111801242237,community,1397,14.72948263943102
zephyr_0.05,5.008784366960614,0.677684042151548,38,765,2,805,4.84472049689441,community,863,9.085183556987324
zephyr_0.1_a8.0,17.94946968826156,1.2355133683490616,139,666,0,805,17.267080745341616,community,2163,16.250375578875968
zephyr_0.1,5.9391328310273375,0.7454568488988942,46,757,2,805,5.838509316770186,community,958,10.440556274117627
zephyr_0.2_a2.5,22.73960181116918,1.339270619399879,186,619,0,805,23.1055900621118,community,2138,21.30099976310596
zephyr_0.2,8.580872112517847,0.8481257995392342,64,739,2,805,8.074534161490684,community,1125,12.851476153312822
zephyr_0.4_a0.5,17.72260833998241,1.1405067311140844,126,679,0,805,15.65217391304348,community,2119,16.57079585840031
zephyr_0.4,12.10008401984068,0.9968674770415352,85,720,0,805,10.559006211180124,community,1502,14.578939796662096
zephyr-7b-dpo-full-ExPO,18.03912157450741,1.1570292177571262,136,668,1,805,16.956521739130434,community,1706,20.16286317217913
zephyr-7b-dpo-full,14.749040201153695,1.0755860661455885,108,695,2,805,13.540372670807454,community,1570,17.31786680799618
zephyr-7b-sft-full,4.686269877502661,0.6577512206497569,34,769,2,805,4.3478260869565215,community,862,8.672842757272283
